date,steel_price_predicted,iron_ore_predicted,scrap_price_predicted,freight_index_predicted,fx_rate_predicted,pct_change_predicted,predicted_mean,volatility_score,lower_ci,upper_ci,supplier_id,supplier_name,material_id,material_name,supplier_factor
2025-02-03,721.7793676971337,109.4512875793993,348.3764757284777,780.8059130869484,83.1784150260309,-0.16604575137616484,722.065682163793,Normal,680.75666766712,720.75666766712,SUP005,PrimeSteel,MAT104,Steel Sheet,1.03
2025-02-04,701.8099559826169,110.27381934653246,348.2152233531778,777.9614993820031,83.09093237068807,0.15030728412521732,701.1852606010358,Normal,681.8099559826169,721.8099559826169,SUP004,DeltaIron,MAT103,Steel Bar,1.0
2025-02-05,722.002575518583,111.20795913334433,348.28065784593076,766.4266286164108,83.04369370475013,-0.1192034518175511,722.1267766322119,Normal,680.9733742898864,720.9733742898864,SUP005,PrimeSteel,MAT101,Steel Rod,1.03
2025-02-06,715.8817336152872,110.45789093067097,348.430550782233,757.6105758502501,82.67775320064148,0.12432178165526775,715.4408858178379,Normal,681.8448368777325,721.8448368777325,SUP001,AlphaSteel,MAT103,Steel Bar,1.02
2025-02-07,736.0716499134837,110.10615905043164,348.07934475264636,747.0149308817058,82.71758062455274,-0.11743591591791835,736.3596412333615,Normal,681.0206189652225,721.0206189652225,SUP003,CoreSteel,MAT104,Steel Sheet,1.05
2025-02-08,702.045957486249,109.89176944660737,348.3874346802008,748.5697951748438,82.78046304259145,0.14626367517405203,701.4819415561686,Normal,682.045957486249,722.045957486249,SUP004,DeltaIron,MAT103,Steel Bar,1.0
2025-02-09,686.8190718595569,111.34724036881413,348.34694598346863,748.6339591174182,82.98843591845022,-0.17237758604713438,687.3002078432868,Normal,680.8357876117927,720.8357876117927,SUP002,BetaMetals,MAT102,Steel Plate,0.98
2025-02-10,716.0759812759985,109.97836316797255,348.3037755919787,735.0471959599323,83.55257627020295,0.17115109847307686,715.5395890162525,Normal,682.0352757607828,722.0352757607828,SUP001,AlphaSteel,MAT104,Steel Sheet,1.02
2025-02-11,686.895914079352,112.41870864132133,348.41122049262987,723.3240868470151,82.71932822396404,-0.15968965653653244,687.3538068644549,Normal,680.9141980401552,720.9141980401552,SUP002,BetaMetals,MAT103,Steel Bar,0.98
2025-02-12,736.6383318990662,110.72433327210754,348.33475303142626,729.6107924129182,82.7194289170529,0.09218218948914281,736.5385486254426,Normal,681.5603160943488,721.5603160943488,SUP003,CoreSteel,MAT100,Steel Coil,1.05
2025-02-13,686.796736437242,111.97206137551592,348.2040943894686,716.0057969360558,83.05986081050955,-0.10652252025549203,687.2915210452317,Normal,680.8129963645326,720.8129963645326,SUP002,BetaMetals,MAT103,Steel Bar,0.98
2025-02-14,715.6882181984439,110.68462927378353,348.4027217395028,718.5634778532406,82.83518028310611,0.12016322766033039,715.4366914547802,Normal,681.6551158808273,721.6551158808273,SUP001,AlphaSteel,MAT102,Steel Plate,1.02
2025-02-15,715.0664569527883,110.84704585970512,348.3894091483103,710.6168864029523,82.76011286033425,-0.0868759929038343,715.2909172143252,Normal,681.0455460321454,721.0455460321454,SUP001,AlphaSteel,MAT101,Steel Rod,1.02
2025-02-16,736.6107831449173,110.09219348139888,348.0792163589559,702.8250683158585,82.84172096729097,0.06968636435324971,736.4336291037641,Normal,681.5340791856355,721.5340791856355,SUP003,CoreSteel,MAT101,Steel Rod,1.05
2025-02-17,715.2458618182119,110.75441883155382,348.29201436452024,704.2724394391238,82.89357784207351,-0.04456605028920757,715.2740797782585,Normal,681.2214331551097,721.2214331551097,SUP001,AlphaSteel,MAT101,Steel Rod,1.02
2025-02-18,736.8329658939103,110.71729819268066,348.2935415129445,690.354031102749,83.00406982927028,0.0747622111685331,736.4362752774484,Normal,681.7456818037241,721.7456818037241,SUP003,CoreSteel,MAT100,Steel Coil,1.05
2025-02-19,736.2310029567957,110.60651913108526,348.4605688666768,696.4581109496121,82.55842423592587,-0.08169598334737405,736.3780854285527,Normal,681.1723837683768,721.1723837683768,SUP003,CoreSteel,MAT102,Steel Plate,1.05
2025-02-20,715.7978806345327,111.08920794681218,348.41155350929733,687.5126442590307,82.62864595111945,0.08417962805697954,715.4770864652669,Normal,681.7626280730713,721.7626280730713,SUP001,AlphaSteel,MAT104,Steel Sheet,1.02
2025-02-21,722.0174617179858,110.40806665956289,348.23175025579366,677.3290135285683,82.97447528721817,-0.11040786890189613,722.393380899513,Normal,680.9878269106658,720.9878269106658,SUP005,PrimeSteel,MAT101,Steel Rod,1.03
2025-02-22,736.9365816760358,110.55057392322172,348.3869509354173,676.3076761168084,82.66703588560702,0.12218993789028243,736.5402594596355,Normal,681.8443635009864,721.8443635009864,SUP003,CoreSteel,MAT102,Steel Plate,1.05
2025-02-23,715.0418048302047,110.19340042742402,348.5017872086845,671.2853237794565,82.98541339412056,-0.11726050094165164,715.4215440551969,Normal,681.0213772845144,721.0213772845144,SUP001,AlphaSteel,MAT103,Steel Bar,1.02
2025-02-24,722.4238444331784,110.27987419638579,348.2886057644622,667.5358060861056,82.77732727862617,0.051495712296167895,722.4591619449653,Normal,681.3823732360955,721.3823732360955,SUP005,PrimeSteel,MAT100,Steel Coil,1.03
2025-02-25,735.9145185354835,110.85769314999683,348.38499629377935,671.2426423633251,82.90791479910328,-0.07291360915476774,736.3562884211257,Normal,680.8709700337937,720.8709700337937,SUP003,CoreSteel,MAT102,Steel Plate,1.05
2025-02-26,722.6729569872873,109.8475751491265,348.32189306263655,665.419590228662,83.03007436063669,0.10747485388287181,722.3969403139413,Normal,681.6242300847449,721.6242300847449,SUP005,PrimeSteel,MAT102,Steel Plate,1.03
2025-02-27,701.1058253850831,110.15498340065425,348.42674759019627,660.7947034215749,82.73814068898534,-0.0738863735648354,701.2624237765548,Normal,681.1058253850831,721.1058253850831,SUP004,DeltaIron,MAT104,Steel Sheet,1.0
2025-02-28,701.5767240555201,109.36269864911597,348.3722514152142,651.2677691405664,83.22520179655064,0.06716513447571071,701.3465519401054,Normal,681.5767240555201,721.5767240555201,SUP004,DeltaIron,MAT102,Steel Plate,1.0
2025-03-01,721.9076212140227,110.51627272110757,348.30814952246516,655.3503187167191,82.9117055101747,-0.09913932247028745,722.2452237565952,Normal,680.8811856446822,720.8811856446822,SUP005,PrimeSteel,MAT104,Steel Sheet,1.03
2025-03-02,736.6974505708316,110.4708466695634,348.3413952582859,648.5441196495743,83.30982535139879,0.10492990276369518,736.3586892046782,Normal,681.6166195912682,721.6166195912682,SUP003,CoreSteel,MAT100,Steel Coil,1.05
2025-03-03,715.1390009968844,110.54195782701329,348.3479007665762,642.3682505090542,83.01044236891975,-0.07125714147921958,715.2811524125541,Normal,681.1166676440043,721.1166676440043,SUP001,AlphaSteel,MAT100,Steel Coil,1.02
2025-03-04,687.5928745600431,110.59415134786582,348.32004584394116,636.8438002486693,82.70960167961383,0.0725577615820816,687.3365288453201,Normal,681.6253822041257,721.6253822041257,SUP002,BetaMetals,MAT103,Steel Bar,0.98
2025-03-05,715.1500952648096,111.02394812265425,348.33727162253206,641.209953878096,83.13724088323325,-0.07095493399875696,715.3187068399981,Normal,681.1275443772643,721.1275443772643,SUP001,AlphaSteel,MAT104,Steel Sheet,1.02
2025-03-06,687.5640073047515,110.77228647606323,348.3702153294048,639.9925334060864,83.04985010031024,0.06680402840637534,687.3356069073255,Normal,681.595925821175,721.595925821175,SUP002,BetaMetals,MAT104,Steel Sheet,0.98
2025-03-07,687.1545219672993,110.48647726322926,348.3568471247839,630.0676160373441,83.00268865594838,-0.0595559588782657,687.2797972491669,Normal,681.1780836401014,721.1780836401014,SUP002,BetaMetals,MAT101,Steel Rod,0.98
2025-03-08,736.6765590069513,110.71596797286867,348.32622414049206,622.8421621671296,82.63693855232754,0.059705121056885524,736.4785419212553,Normal,681.596722863763,721.596722863763,SUP003,CoreSteel,MAT101,Steel Rod,1.05
2025-03-09,722.2296454393431,110.82358378501912,348.39797519823065,613.8189801867738,82.67681155854805,-0.057425060151994334,722.3881688266129,Normal,681.1938305236341,721.1938305236341,SUP005,PrimeSteel,MAT103,Steel Bar,1.03
2025-03-10,715.664281618901,110.88917838314445,348.3350327191204,616.9252914525159,82.73973103441648,0.06243895814375122,715.4497315482237,Normal,681.6316486459814,721.6316486459814,SUP001,AlphaSteel,MAT100,Steel Coil,1.02
2025-03-11,722.1969278094292,110.44386280569927,348.3433045213455,618.5231320642772,82.94768898590839,-0.0669272562733414,722.3957709082151,Normal,681.1620658343973,721.1620658343973,SUP005,PrimeSteel,MAT101,Steel Rod,1.03
2025-03-12,701.6237948876907,110.86268418635596,348.35212419125844,606.4551893109079,83.51168726382164,0.06585197285935429,701.4260103166774,Normal,681.6237948876907,721.6237948876907,SUP004,DeltaIron,MAT102,Steel Plate,1.0
2025-03-13,736.2427284677088,110.11603659824587,348.3301733002689,596.2328045661635,82.67879447363946,-0.06274644179273814,736.4354545975793,Normal,681.1835509216274,721.1835509216274,SUP003,CoreSteel,MAT100,Steel Coil,1.05
2025-03-14,736.5978835662532,110.634447330084,348.3457955298485,603.9987558763354,82.67895334239384,0.04823885993190391,736.4870111324575,Normal,681.5217938726221,721.5217938726221,SUP003,CoreSteel,MAT102,Steel Plate,1.05
2025-03-15,701.1682255749727,110.25269270181465,348.3724889661035,591.8601558328602,83.01932190654581,-0.05040018724117301,701.3549871801323,Normal,681.1682255749727,721.1682255749727,SUP004,DeltaIron,MAT104,Steel Sheet,1.0
2025-03-16,715.5666698216177,110.64659515706616,348.33190958744774,595.8635694534441,82.79477899378975,0.052444651243743756,715.4319387362365,Normal,681.5359508055075,721.5359508055075,SUP001,AlphaSteel,MAT100,Steel Coil,1.02
2025-03-17,701.2205200475563,110.59690221257456,348.33462933716396,589.3481744272538,82.71979560258498,-0.04496287860785708,701.3451288491963,Normal,681.2205200475563,721.2205200475563,SUP004,DeltaIron,MAT103,Steel Bar,1.0
2025-03-18,715.5365939627318,110.82785668758505,348.39800142893944,582.9708440743199,82.80143164454317,0.04077813093221749,715.4222152564156,Normal,681.5064646693448,721.5064646693448,SUP001,AlphaSteel,MAT104,Steel Sheet,1.02
2025-03-19,687.2358180235728,110.62524235863923,348.35452699883956,585.8141695322585,82.85332674979347,-0.03498554641208074,687.3156562567672,Normal,681.2610387995642,721.2610387995642,SUP002,BetaMetals,MAT104,Steel Sheet,0.98
2025-03-20,736.6221245986334,110.63659978150679,348.3542150038693,573.2788433731196,82.96383578828224,0.040475907666093214,736.4638311509542,Normal,681.544880570127,721.544880570127,SUP003,CoreSteel,MAT102,Steel Plate,1.05
2025-03-21,715.2806794570436,110.67049371990879,348.32009147439663,580.7454573985067,82.5184050019686,-0.04123933949189418,715.3832145047797,Normal,681.2555680951407,721.2555680951407,SUP001,AlphaSteel,MAT104,Steel Sheet,1.02
2025-03-22,722.5902542634072,110.52281035130129,348.33010526528045,573.1499602110097,82.5886575182421,0.04112168174406072,722.452058562895,Normal,681.5439361780652,721.5439361780652,SUP005,PrimeSteel,MAT101,Steel Rod,1.03
2025-03-23,722.2589787230426,110.73121219638472,348.36683889892254,564.3008500063546,82.9344192124938,-0.04584555886411046,722.4059084762337,Normal,681.2223094398471,721.2223094398471,SUP005,PrimeSteel,MAT100,Steel Coil,1.03
2025-03-24,736.6342096388205,110.68761070394807,348.3351315477194,564.596455830945,82.62714451984995,0.04764262172858302,736.4835881826449,Normal,681.5563901322099,721.5563901322099,SUP003,CoreSteel,MAT101,Steel Rod,1.05
2025-03-25,701.2331981623693,110.79689143165103,348.31167060633584,560.8765765635242,82.94546358066384,-0.046067853473585885,701.3739030539033,Normal,681.2331981623693,721.2331981623693,SUP004,DeltaIron,MAT102,Steel Plate,1.0
2025-03-26,701.4584616098762,110.77043393547468,348.35522337258874,558.4140687106606,82.73750621340352,0.03212389945272953,701.4021063125193,Normal,681.4584616098762,721.4584616098762,SUP004,DeltaIron,MAT102,Steel Plate,1.0
2025-03-27,715.230595819165,110.59364456987475,348.3355308791466,563.39125425142,82.86810158618555,-0.03592445373320485,715.3808366727177,Normal,681.2064664893775,721.2064664893775,SUP001,AlphaSteel,MAT100,Steel Coil,1.02
2025-03-28,701.5038919655175,110.90270006111282,348.3484228092383,558.8258413888764,82.99027171570472,0.04241624833112301,701.3892362824661,Normal,681.5038919655175,721.5038919655175,SUP004,DeltaIron,MAT104,Steel Sheet,1.0
2025-03-29,736.3207971354743,110.80864549708696,348.32700112900704,555.4436722832581,82.69849579506689,-0.0350660822484139,736.4157929749475,Normal,681.2579020337851,721.2579020337851,SUP003,CoreSteel,MAT103,Steel Bar,1.05
2025-03-30,715.520468954822,111.05105277314394,348.3381346457131,547.1460609953987,83.18543695469975,0.0331908993254304,715.4144436508315,Normal,681.4906558380608,721.4906558380608,SUP001,AlphaSteel,MAT102,Steel Plate,1.02
2025-03-31,687.1913799428747,110.69810549253742,348.351230601421,552.4405932129956,82.87210553432784,-0.03919681844832823,687.3112777885544,Normal,681.21569381926,721.21569381926,SUP002,BetaMetals,MAT100,Steel Coil,0.98
2025-04-01,701.4953762902072,110.71200403772016,348.3444385292198,546.8346487049204,83.27013654051366,0.03988536956780475,701.3754925780121,Normal,681.4953762902072,721.4953762902072,SUP004,DeltaIron,MAT103,Steel Bar,1.0
2025-04-02,701.2668978777162,110.69024688293305,348.34310946006485,541.8449107081748,82.97091284000417,-0.03257019507373338,701.3481263305606,Normal,681.2668978777162,721.2668978777162,SUP004,DeltaIron,MAT104,Steel Sheet,1.0
2025-04-03,715.5238135180999,110.67427776426312,348.3488001942605,537.492626603953,82.67023167498847,0.03237525464803159,715.4169770998768,Normal,681.4939348216666,721.4939348216666,SUP001,AlphaSteel,MAT102,Steel Plate,1.02
2025-04-04,722.3104195109962,110.54277723338423,348.34528098408146,543.0150889985035,83.09777070070558,-0.031601537552772285,722.3967848588733,Normal,681.2722519524235,721.2722519524235,SUP005,PrimeSteel,MAT100,Steel Coil,1.03
2025-04-05,701.4848815951882,110.61977557788057,348.33855061610706,542.941718715225,83.01046287887826,0.030320555557805662,701.3885274563603,Normal,681.4848815951882,721.4848815951882,SUP004,DeltaIron,MAT100,Steel Coil,1.0
2025-04-06,736.3497912853718,110.70722170456742,348.3412817275938,534.149444793945,82.96336979664997,-0.028420581902910413,736.427182779951,Normal,681.2855155098779,721.2855155098779,SUP003,CoreSteel,MAT100,Steel Coil,1.05
2025-04-07,701.4821355317671,110.63700677528087,348.34753797415266,528.0428478137777,82.59780124018799,0.02803708582890252,701.397284796978,Normal,681.4821355317671,721.4821355317671,SUP004,DeltaIron,MAT102,Steel Plate,1.0
2025-04-08,687.2657215536985,110.60408066401418,348.33287930131416,520.125889588518,82.63771107313651,-0.02716860719592651,687.3408037852236,Normal,681.2915526058149,721.2915526058149,SUP002,BetaMetals,MAT103,Steel Bar,0.98
2025-04-09,701.4864771387197,110.58401135455853,348.34573838991855,524.3228478639792,82.70065890022141,0.027795077836101356,701.3995355936368,Normal,681.4864771387197,721.4864771387197,SUP004,DeltaIron,MAT100,Steel Coil,1.0
2025-04-10,722.3264172348016,110.72026001503652,348.34404846859303,526.9989403362753,82.90859328493599,-0.028324625218978383,722.4111879998009,Normal,681.2877837231083,721.2877837231083,SUP005,PrimeSteel,MAT104,Steel Sheet,1.03
2025-04-11,701.4822562153792,110.59211751343933,348.34224661842006,515.9997050298475,83.47244093733057,0.027730768563860586,701.4000860456936,Normal,681.4822562153792,721.4822562153792,SUP004,DeltaIron,MAT100,Steel Coil,1.0
2025-04-12,715.3206047154843,110.82056165256591,348.34673116456713,506.833182343514,82.63989471962822,-0.02673563134929502,715.400377122092,Normal,681.2947105053767,721.2947105053767,SUP001,AlphaSteel,MAT103,Steel Bar,1.02
2025-04-13,701.4590177888597,110.66194881401312,348.3435395579256,515.6387072856319,82.64010323124195,0.02342913485895437,701.3977047870037,Normal,681.4590177888597,721.4590177888597,SUP004,DeltaIron,MAT102,Steel Plate,1.0
2025-04-14,722.3328424660793,110.7787503798406,348.3380861142925,504.5319583549121,82.98040002129133,-0.023521827070138723,722.4119563403793,Normal,681.2940218117275,721.2940218117275,SUP005,PrimeSteel,MAT100,Steel Coil,1.03
2025-04-15,715.488721187857,110.6582320674229,348.34637644274824,509.5516301041195,82.75598625132707,0.023600481318131195,715.4227248163845,Normal,681.4595305763304,721.4595305763304,SUP001,AlphaSteel,MAT100,Steel Coil,1.02
2025-04-16,736.3723130698704,110.673436110275,348.3458208004685,504.04296622640527,82.68107848318473,-0.02174975764560605,736.4376428173846,Normal,681.306964828448,721.306964828448,SUP003,CoreSteel,MAT104,Steel Sheet,1.05
2025-04-17,715.4803110459069,110.60277332764318,348.3328739424053,498.660609718296,82.76273411565299,0.020578793297976183,715.4203918295073,Normal,681.4512853391244,721.4512853391244,SUP001,AlphaSteel,MAT104,Steel Sheet,1.02
2025-04-18,687.2910489683251,110.66476516514165,348.341755727117,502.48526969889184,82.81465914701786,-0.019087345831225733,687.3416098858848,Normal,681.3173969064542,721.3173969064542,SUP002,BetaMetals,MAT100,Steel Coil,0.98
2025-04-19,715.4861032690447,110.66129025042821,348.3418194673926,490.92324168264446,82.92517698356227,0.019900701653918773,715.4200121235725,Normal,681.4569639892595,721.4569639892595,SUP001,AlphaSteel,MAT100,Steel Coil,1.02
2025-04-20,736.3842831527901,110.65092006815861,348.3487908720018,499.34738696008714,82.47995272396354,-0.01975874343769224,736.4406792538144,Normal,681.3183649074191,721.3183649074191,SUP003,CoreSteel,MAT104,Steel Sheet,1.05
2025-04-21,701.4547440848202,110.69610524057744,348.3467450640505,492.70157996431067,82.55022786964703,0.019446115234567074,701.3950358045507,Normal,681.4547440848202,721.4547440848202,SUP004,DeltaIron,MAT103,Steel Bar,1.0
2025-04-22,715.3398480041203,110.63234265585794,348.3392404176425,484.7913801619589,82.89591382833038,-0.020124977610147532,715.4016689229651,Normal,681.3135764746278,721.3135764746278,SUP001,AlphaSteel,MAT101,Steel Rod,1.02
2025-04-23,715.4844581869718,110.64568295931963,348.3457181993297,486.01293433434677,82.58879571085312,0.020215591687633427,715.4232909318159,Normal,681.4553511636979,721.4553511636979,SUP001,AlphaSteel,MAT101,Steel Rod,1.02
2025-04-24,715.3440216073055,110.61224745084043,348.35051124733576,483.20909400153204,82.90704831207873,-0.01962818032723579,715.4038210120158,Normal,681.3176682424564,721.3176682424564,SUP001,AlphaSteel,MAT100,Steel Coil,1.02
2025-04-25,715.4622756066889,110.62034238080966,348.3416134586225,481.6516696641668,82.69921165671772,0.01653106698475959,715.4207539780308,Normal,681.4336035359695,721.4336035359695,SUP001,AlphaSteel,MAT104,Steel Sheet,1.02
2025-04-26,736.3797146141558,110.67443281795074,348.34563661629903,487.52173367648095,82.82980693051987,-0.0170493140224659,736.4410983490851,Normal,681.3140139182435,721.3140139182435,SUP003,CoreSteel,MAT102,Steel Plate,1.05
2025-04-27,722.4843396281356,110.57987426480932,348.3430028072455,483.8408920184185,82.95197971754855,0.0181220557863071,722.4317093957923,Normal,681.441106435083,721.441106435083,SUP005,PrimeSteel,MAT102,Steel Plate,1.03
2025-04-28,722.365954092098,110.60865117945013,348.34737923613807,481.33272443776946,82.66035362658913,-0.016385896488568807,722.4127904936113,Normal,681.3261690214543,721.3261690214543,SUP005,PrimeSteel,MAT101,Steel Rod,1.03
2025-04-29,715.4654992911398,110.53448430021729,348.34510466926645,473.90002079224047,83.1471670571865,0.015769408636412408,715.4170242649118,Normal,681.4367640109214,721.4367640109214,SUP001,AlphaSteel,MAT103,Steel Bar,1.02
2025-04-30,736.3851519201353,110.64247197600864,348.34242917797366,480.0463718687933,82.8339926614078,-0.016761554578104132,736.4382776203528,Normal,681.3191923048907,721.3191923048907,SUP003,CoreSteel,MAT101,Steel Rod,1.05
2025-05-01,736.5079645793091,110.63821958004574,348.343816791863,475.28471890863443,83.23192712239707,0.016677775054740884,736.4560508953142,Normal,681.4361567421992,721.4361567421992,SUP003,CoreSteel,MAT100,Steel Coil,1.05
2025-05-02,715.3577572589196,110.64487639455146,348.344088319427,471.1293013767147,82.93285494602851,-0.014972449541050814,715.3995182486238,Normal,681.3311345675683,721.3311345675683,SUP001,AlphaSteel,MAT103,Steel Bar,1.02
