material_id,material_name,current_stock,daily_consumption,safety_stock,last_updated
MAT171,Steel Sheet,342,29,127,2024-01-15
MAT172,Steel Bar,124,38,137,2024-01-15
MAT173,Steel Plate,278,36,88,2024-01-15
MAT174,Steel Coil,155,13,150,2024-01-15
MAT175,Steel Plate,194,15,160,2024-01-15
MAT176,Steel Bar,368,37,124,2024-01-15
MAT177,Steel Bar,185,38,122,2024-01-15
MAT178,Steel Sheet,423,17,196,2024-01-15
MAT179,Steel Rod,365,36,177,2024-01-15
MAT180,Steel Sheet,182,29,192,2024-01-15
MAT181,Steel Bar,426,13,125,2024-01-15
MAT182,Steel Bar,223,6,144,2024-01-15
MAT183,Steel Plate,276,5,116,2024-01-15
MAT184,Steel Sheet,449,32,128,2024-01-15
MAT185,Steel Sheet,117,34,81,2024-01-15
MAT186,Steel Rod,89,6,94,2024-01-15
MAT187,Steel Rod,171,18,82,2024-01-15
MAT188,Steel Rod,235,13,196,2024-01-15
MAT189,Steel Sheet,171,17,103,2024-01-15
MAT190,Steel Rod,226,5,101,2024-01-15
MAT191,Steel Coil,227,14,116,2024-01-15
MAT192,Steel Bar,434,26,136,2024-01-15
MAT193,Steel Sheet,198,8,105,2024-01-15
MAT194,Steel Sheet,433,28,150,2024-01-15
MAT195,Steel Sheet,325,5,181,2024-01-15
MAT196,Steel Coil,301,16,87,2024-01-15
MAT197,Steel Rod,471,5,159,2024-01-15
MAT198,Steel Coil,206,35,189,2024-01-15
MAT199,Steel Rod,352,19,137,2024-01-15
MAT200,Steel Rod,220,12,106,2024-01-15
MAT201,Steel Rod,116,26,90,2024-01-15
MAT202,Steel Sheet,434,14,199,2024-01-15
MAT203,Steel Coil,322,13,171,2024-01-15
MAT204,Steel Bar,298,21,124,2024-01-15
MAT205,Steel Bar,59,25,160,2024-01-15
MAT206,Steel Rod,478,16,192,2024-01-15
MAT207,Steel Coil,422,33,150,2024-01-15
MAT208,Steel Bar,340,14,103,2024-01-15
MAT209,Steel Bar,167,5,120,2024-01-15
MAT210,Steel Coil,216,7,110,2024-01-15
MAT211,Steel Rod,390,19,196,2024-01-15
MAT212,Steel Rod,291,21,90,2024-01-15
MAT213,Steel Sheet,367,8,135,2024-01-15
MAT214,Steel Bar,417,16,88,2024-01-15
MAT215,Steel Plate,125,23,195,2024-01-15
MAT216,Steel Bar,212,17,89,2024-01-15
MAT217,Steel Rod,315,32,160,2024-01-15
MAT218,Steel Plate,408,25,175,2024-01-15
MAT219,Steel Sheet,59,32,126,2024-01-15
MAT220,Steel Bar,321,26,103,2024-01-15
MAT221,Steel Rod,88,6,90,2024-01-15
MAT222,Steel Bar,494,31,123,2024-01-15
MAT223,Steel Coil,51,34,140,2024-01-15
MAT224,Steel Plate,96,33,188,2024-01-15
MAT225,Steel Sheet,203,26,125,2024-01-15
MAT226,Steel Sheet,395,18,156,2024-01-15
MAT227,Steel Sheet,370,29,86,2024-01-15
MAT228,Steel Rod,265,37,124,2024-01-15
MAT229,Steel Rod,211,15,156,2024-01-15
MAT230,Steel Coil,56,26,199,2024-01-15
MAT231,Steel Rod,209,15,183,2024-01-15
MAT232,Steel Sheet,129,39,124,2024-01-15
MAT233,Steel Coil,351,9,183,2024-01-15
MAT234,Steel Bar,225,39,167,2024-01-15
MAT235,Steel Rod,245,6,129,2024-01-15
MAT236,Steel Sheet,116,15,90,2024-01-15
MAT237,Steel Bar,397,12,134,2024-01-15
MAT238,Steel Plate,245,15,188,2024-01-15
MAT239,Steel Plate,350,33,188,2024-01-15
MAT240,Steel Bar,109,19,155,2024-01-15
MAT241,Steel Sheet,320,36,115,2024-01-15
MAT242,Steel Rod,227,38,193,2024-01-15
MAT243,Steel Coil,125,36,129,2024-01-15
MAT244,Steel Rod,89,19,81,2024-01-15
MAT245,Steel Plate,262,7,195,2024-01-15
MAT246,Steel Bar,109,8,88,2024-01-15
MAT247,Steel Bar,494,25,134,2024-01-15
MAT248,Steel Coil,439,18,80,2024-01-15
MAT249,Steel Sheet,170,15,163,2024-01-15
MAT250,Steel Plate,363,15,190,2024-01-15
MAT251,Steel Plate,297,33,149,2024-01-15
MAT252,Steel Coil,139,38,92,2024-01-15
MAT253,Steel Coil,350,8,119,2024-01-15
MAT254,Steel Coil,261,21,172,2024-01-15
MAT255,Steel Bar,218,27,169,2024-01-15
MAT256,Steel Bar,448,20,115,2024-01-15
MAT257,Steel Coil,381,33,120,2024-01-15
MAT258,Steel Sheet,375,10,169,2024-01-15
MAT259,Steel Rod,387,24,139,2024-01-15
MAT260,Steel Rod,422,29,90,2024-01-15
MAT261,Steel Coil,83,35,167,2024-01-15
MAT262,Steel Coil,245,16,155,2024-01-15
MAT263,Steel Plate,66,17,151,2024-01-15
MAT264,Steel Plate,279,8,143,2024-01-15
MAT265,Steel Bar,378,7,190,2024-01-15
MAT266,Steel Coil,79,37,136,2024-01-15
MAT267,Steel Sheet,212,31,162,2024-01-15
MAT268,Steel Plate,202,32,199,2024-01-15
MAT269,Steel Rod,189,29,178,2024-01-15
MAT270,Steel Sheet,224,8,159,2024-01-15
MAT271,Steel Rod,76,24,108,2024-01-15
MAT272,Steel Sheet,235,35,176,2024-01-15
MAT273,Steel Sheet,215,7,188,2024-01-15
MAT274,Steel Rod,488,20,87,2024-01-15
MAT275,Steel Coil,498,9,177,2024-01-15
MAT276,Steel Plate,206,12,194,2024-01-15
MAT277,Steel Plate,358,20,104,2024-01-15
MAT278,Steel Rod,227,31,196,2024-01-15
MAT279,Steel Coil,477,26,92,2024-01-15
MAT280,Steel Coil,475,14,137,2024-01-15
MAT281,Steel Coil,427,34,191,2024-01-15
MAT282,Steel Rod,116,23,81,2024-01-15
MAT283,Steel Coil,400,10,106,2024-01-15
MAT284,Steel Plate,241,8,95,2024-01-15
MAT285,Steel Sheet,222,31,99,2024-01-15
MAT286,Steel Coil,114,19,104,2024-01-15
MAT287,Steel Plate,368,33,98,2024-01-15
MAT288,Steel Coil,131,7,105,2024-01-15
MAT289,Steel Bar,337,20,199,2024-01-15
MAT290,Steel Rod,460,26,128,2024-01-15
MAT291,Steel Bar,443,39,106,2024-01-15
MAT292,Steel Coil,307,33,99,2024-01-15
MAT293,Steel Rod,254,28,179,2024-01-15
MAT294,Steel Rod,417,34,143,2024-01-15
MAT295,Steel Bar,467,24,90,2024-01-15
MAT296,Steel Plate,407,9,141,2024-01-15
MAT297,Steel Sheet,143,14,162,2024-01-15
MAT298,Steel Bar,459,23,152,2024-01-15
MAT299,Steel Plate,319,25,81,2024-01-15
MAT300,Steel Coil,110,13,114,2024-01-15
MAT301,Steel Rod,276,26,178,2024-01-15
MAT302,Steel Coil,111,10,187,2024-01-15
MAT303,Steel Rod,302,9,125,2024-01-15
MAT304,Steel Bar,87,15,161,2024-01-15
MAT305,Steel Bar,483,34,96,2024-01-15
MAT306,Steel Bar,362,28,113,2024-01-15
MAT307,Steel Sheet,218,24,179,2024-01-15
MAT308,Steel Bar,176,17,101,2024-01-15
MAT309,Steel Coil,447,7,108,2024-01-15
MAT310,Steel Plate,253,33,101,2024-01-15
MAT311,Steel Coil,219,38,109,2024-01-15
MAT312,Steel Bar,132,8,133,2024-01-15
MAT313,Steel Coil,294,38,194,2024-01-15
MAT314,Steel Sheet,288,39,158,2024-01-15
MAT315,Steel Plate,239,36,190,2024-01-15
MAT316,Steel Sheet,85,9,89,2024-01-15
MAT317,Steel Sheet,75,24,198,2024-01-15
MAT318,Steel Coil,451,5,145,2024-01-15
MAT319,Steel Sheet,162,15,110,2024-01-15
MAT320,Steel Sheet,127,14,145,2024-01-15
MAT321,Steel Coil,406,10,177,2024-01-15
MAT322,Steel Bar,151,37,123,2024-01-15
MAT323,Steel Bar,190,12,157,2024-01-15
MAT324,Steel Rod,278,15,107,2024-01-15
MAT325,Steel Bar,450,34,112,2024-01-15
MAT326,Steel Bar,268,39,109,2024-01-15
MAT327,Steel Rod,80,5,93,2024-01-15
MAT328,Steel Sheet,276,16,169,2024-01-15
MAT329,Steel Sheet,153,28,112,2024-01-15
MAT330,Steel Plate,54,36,150,2024-01-15
MAT331,Steel Sheet,407,13,94,2024-01-15
MAT332,Steel Sheet,483,8,184,2024-01-15
MAT333,Steel Rod,195,35,178,2024-01-15
MAT334,Steel Bar,382,34,167,2024-01-15
MAT335,Steel Bar,217,29,142,2024-01-15
MAT336,Steel Bar,365,25,159,2024-01-15
MAT337,Steel Plate,436,36,152,2024-01-15
MAT338,Steel Rod,297,18,194,2024-01-15
MAT339,Steel Coil,271,20,181,2024-01-15
MAT340,Steel Rod,274,39,132,2024-01-15
MAT341,Steel Sheet,299,25,147,2024-01-15
MAT342,Steel Rod,257,37,173,2024-01-15
MAT343,Steel Rod,139,23,103,2024-01-15
MAT344,Steel Sheet,388,34,177,2024-01-15
MAT345,Steel Sheet,177,11,188,2024-01-15
MAT346,Steel Coil,232,36,98,2024-01-15
MAT347,Steel Coil,486,8,87,2024-01-15
MAT348,Steel Sheet,442,19,179,2024-01-15
MAT349,Steel Rod,413,37,187,2024-01-15
MAT350,Steel Bar,100,30,151,2024-01-15
MAT351,Steel Coil,107,21,185,2024-01-15
MAT352,Steel Plate,208,15,112,2024-01-15
MAT353,Steel Bar,294,25,183,2024-01-15
MAT354,Steel Coil,329,9,83,2024-01-15
MAT355,Steel Sheet,406,36,94,2024-01-15
MAT356,Steel Rod,159,30,175,2024-01-15
MAT357,Steel Sheet,476,36,198,2024-01-15
MAT358,Steel Plate,159,33,122,2024-01-15
MAT359,Steel Sheet,287,17,170,2024-01-15
MAT360,Steel Bar,430,17,174,2024-01-15
MAT361,Steel Sheet,175,27,195,2024-01-15
MAT362,Steel Rod,431,11,153,2024-01-15
MAT363,Steel Bar,111,38,191,2024-01-15
MAT364,Steel Bar,492,31,104,2024-01-15
MAT365,Steel Rod,334,37,199,2024-01-15
MAT366,Steel Bar,192,14,137,2024-01-15
MAT367,Steel Coil,423,15,184,2024-01-15
MAT368,Steel Coil,449,16,193,2024-01-15
MAT369,Steel Coil,379,24,87,2024-01-15
MAT370,Steel Bar,431,9,83,2024-01-15
MAT371,Steel Coil,402,37,93,2024-01-15
MAT372,Steel Rod,344,15,179,2024-01-15
MAT373,Steel Rod,194,13,110,2024-01-15
MAT374,Steel Rod,264,8,93,2024-01-15
MAT375,Steel Bar,250,17,140,2024-01-15
MAT376,Steel Sheet,167,7,183,2024-01-15
MAT377,Steel Bar,270,39,141,2024-01-15
MAT378,Steel Plate,431,21,173,2024-01-15
MAT379,Steel Plate,279,32,163,2024-01-15
MAT380,Steel Coil,137,39,161,2024-01-15
MAT381,Steel Rod,428,21,132,2024-01-15
MAT382,Steel Sheet,321,18,186,2024-01-15
MAT383,Steel Plate,180,18,179,2024-01-15
MAT384,Steel Bar,437,16,108,2024-01-15
MAT385,Steel Plate,293,12,133,2024-01-15
MAT386,Steel Sheet,97,38,195,2024-01-15
MAT387,Steel Coil,295,12,133,2024-01-15
MAT388,Steel Rod,440,8,104,2024-01-15
MAT389,Steel Plate,122,13,92,2024-01-15
MAT390,Steel Rod,275,20,166,2024-01-15
MAT391,Steel Rod,466,20,118,2024-01-15
MAT392,Steel Rod,380,26,91,2024-01-15
MAT393,Steel Coil,433,35,163,2024-01-15
MAT394,Steel Coil,498,32,99,2024-01-15
MAT395,Steel Plate,398,6,142,2024-01-15
MAT396,Steel Sheet,282,31,123,2024-01-15
MAT397,Steel Sheet,267,37,144,2024-01-15
MAT398,Steel Rod,79,36,83,2024-01-15
MAT399,Steel Plate,83,7,179,2024-01-15
