shipment_id,po_id,supplier_id,supplier_name,material_id,material_name,vessel_name,departure_date,eta_date,actual_arrival_date,port_congestion_index,eta_delay_days,congestion_risk
SHP2725,PO1834,SUP001,AlphaSteel,MAT100,Steel Coil,MV Titan,2023-02-03,2023-02-24,2023-03-07,62,11,Medium
SHP3462,PO1222,SUP005,PrimeSteel,MAT103,Steel Bar,MV Horizon,2023-02-04,2023-02-22,2023-02-26,89,4,High
SHP3453,PO1040,SUP002,BetaMetals,MAT100,Steel Coil,MV Horizon,2023-02-05,2023-02-17,2023-03-01,55,12,Low
SHP3092,PO1126,SUP004,DeltaIron,MAT101,Steel Rod,MV OceanStar,2023-02-06,2023-02-22,2023-02-27,49,5,Low
SHP3261,PO2800,SUP005,PrimeSteel,MAT101,Steel Rod,MV Titan,2023-02-08,2023-03-04,2023-02-20,75,-12,Medium
SHP3306,PO2068,SUP002,BetaMetals,MAT104,Steel Sheet,MV OceanStar,2023-02-09,2023-02-21,2023-02-23,86,2,High
SHP2864,PO1390,SUP004,DeltaIron,MAT104,Steel Sheet,MV Titan,2023-02-10,2023-02-26,2023-02-24,82,-2,High
SHP2492,PO1356,SUP002,BetaMetals,MAT100,Steel Coil,MV OceanStar,2023-02-11,2023-02-27,2023-03-06,61,7,Medium
SHP2665,PO2819,SUP004,DeltaIron,MAT100,Steel Coil,MV Horizon,2023-02-14,2023-02-24,2023-03-12,53,16,Low
SHP2515,PO2271,SUP001,AlphaSteel,MAT100,Steel Coil,MV OceanStar,2023-02-15,2023-03-09,2023-03-06,88,-3,High
SHP2807,PO1746,SUP005,PrimeSteel,MAT101,Steel Rod,MV Horizon,2023-02-16,2023-03-04,2023-03-04,81,0,High
SHP3180,PO1738,SUP005,PrimeSteel,MAT102,Steel Plate,MV Horizon,2023-02-17,2023-03-03,2023-03-17,62,14,Medium
SHP2933,PO1517,SUP001,AlphaSteel,MAT100,Steel Coil,MV Titan,2023-02-18,2023-03-08,2023-03-07,43,-1,Low
SHP3193,PO1784,SUP003,CoreSteel,MAT100,Steel Coil,MV OceanStar,2023-02-19,2023-03-12,2023-03-17,70,5,Medium
SHP2132,PO1647,SUP001,AlphaSteel,MAT103,Steel Bar,MV OceanStar,2023-02-21,2023-03-04,2023-03-21,45,17,Low
SHP3295,PO1640,SUP002,BetaMetals,MAT102,Steel Plate,MV OceanStar,2023-02-22,2023-03-16,2023-03-26,65,10,Medium
SHP2962,PO1576,SUP001,AlphaSteel,MAT102,Steel Plate,MV OceanStar,2023-02-23,2023-03-14,2023-03-10,56,-4,Low
SHP2771,PO1571,SUP001,AlphaSteel,MAT101,Steel Rod,MV OceanStar,2023-02-24,2023-03-14,2023-03-30,45,16,Low
SHP2562,PO2812,SUP005,PrimeSteel,MAT102,Steel Plate,MV Titan,2023-02-25,2023-03-13,2023-03-11,64,-2,Medium
SHP2978,PO2619,SUP005,PrimeSteel,MAT100,Steel Coil,MV Titan,2023-02-26,2023-03-20,2023-03-26,87,6,High
SHP2097,PO1851,SUP002,BetaMetals,MAT101,Steel Rod,MV Horizon,2023-02-27,2023-03-16,2023-03-26,84,10,High
SHP3045,PO1477,SUP002,BetaMetals,MAT103,Steel Bar,MV OceanStar,2023-02-28,2023-03-22,2023-03-28,55,6,Low
SHP2258,PO1949,SUP005,PrimeSteel,MAT103,Steel Bar,MV Horizon,2023-03-01,2023-03-19,2023-03-21,74,2,Medium
SHP2272,PO1293,SUP002,BetaMetals,MAT102,Steel Plate,MV Titan,2023-03-02,2023-03-13,2023-03-16,41,3,Low
SHP2915,PO2813,SUP001,AlphaSteel,MAT100,Steel Coil,MV Titan,2023-03-04,2023-03-21,2023-04-06,86,16,High
SHP2435,PO2940,SUP001,AlphaSteel,MAT104,Steel Sheet,MV Horizon,2023-03-05,2023-03-25,2023-03-30,84,5,High
SHP2736,PO2358,SUP002,BetaMetals,MAT104,Steel Sheet,MV Horizon,2023-03-06,2023-03-24,2023-04-02,67,9,Medium
SHP2114,PO1862,SUP003,CoreSteel,MAT104,Steel Sheet,MV OceanStar,2023-03-07,2023-03-19,2023-04-04,46,16,Low
SHP3469,PO1093,SUP001,AlphaSteel,MAT102,Steel Plate,MV Horizon,2023-03-08,2023-03-20,2023-03-29,73,9,Medium
SHP2572,PO2855,SUP001,AlphaSteel,MAT102,Steel Plate,MV OceanStar,2023-03-09,2023-03-28,2023-04-07,57,10,Low
SHP3337,PO1117,SUP003,CoreSteel,MAT102,Steel Plate,MV Titan,2023-03-11,2023-03-25,2023-03-23,41,-2,Low
SHP2513,PO2967,SUP004,DeltaIron,MAT104,Steel Sheet,MV OceanStar,2023-03-14,2023-03-31,2023-04-12,56,12,Low
SHP2140,PO1357,SUP005,PrimeSteel,MAT103,Steel Bar,MV Horizon,2023-03-15,2023-04-06,2023-04-14,53,8,Low
SHP2149,PO1677,SUP004,DeltaIron,MAT104,Steel Sheet,MV Horizon,2023-03-18,2023-04-10,2023-04-20,56,10,Low
SHP2567,PO2824,SUP004,DeltaIron,MAT101,Steel Rod,MV Titan,2023-03-19,2023-04-07,2023-04-01,53,-6,Low
SHP3061,PO1478,SUP003,CoreSteel,MAT102,Steel Plate,MV Horizon,2023-03-20,2023-04-06,2023-04-23,71,17,Medium
SHP2218,PO2938,SUP001,AlphaSteel,MAT102,Steel Plate,MV Titan,2023-03-21,2023-04-14,2023-04-14,88,0,High
SHP2035,PO1210,SUP005,PrimeSteel,MAT100,Steel Coil,MV Horizon,2023-03-23,2023-04-05,2023-04-26,72,21,Medium
SHP2871,PO1424,SUP003,CoreSteel,MAT104,Steel Sheet,MV Titan,2023-03-25,2023-04-10,2023-04-11,75,1,Medium
SHP2603,PO2063,SUP001,AlphaSteel,MAT100,Steel Coil,MV Titan,2023-03-28,2023-04-13,2023-04-29,48,16,Low
SHP3019,PO2581,SUP001,AlphaSteel,MAT102,Steel Plate,MV OceanStar,2023-03-29,2023-04-14,2023-04-28,64,14,Medium
SHP2991,PO2433,SUP002,BetaMetals,MAT102,Steel Plate,MV Horizon,2023-03-31,2023-04-12,2023-04-28,76,16,Medium
SHP3409,PO2345,SUP005,PrimeSteel,MAT104,Steel Sheet,MV OceanStar,2023-04-01,2023-04-24,2023-04-25,42,1,Low
SHP2392,PO2095,SUP003,CoreSteel,MAT102,Steel Plate,MV Titan,2023-04-03,2023-04-16,2023-04-20,59,4,Low
SHP2476,PO2333,SUP003,CoreSteel,MAT102,Steel Plate,MV Titan,2023-04-05,2023-04-27,2023-05-05,62,8,Medium
SHP2722,PO2887,SUP001,AlphaSteel,MAT103,Steel Bar,MV Titan,2023-04-06,2023-04-26,2023-05-08,78,12,Medium
SHP2664,PO2348,SUP002,BetaMetals,MAT102,Steel Plate,MV Horizon,2023-04-09,2023-04-20,2023-05-05,65,15,Medium
SHP2113,PO1432,SUP001,AlphaSteel,MAT101,Steel Rod,MV Horizon,2023-04-10,2023-05-01,2023-04-29,78,-2,Medium
SHP2920,PO2205,SUP004,DeltaIron,MAT103,Steel Bar,MV Titan,2023-04-11,2023-04-27,2023-05-14,59,17,Low
SHP2995,PO2664,SUP001,AlphaSteel,MAT101,Steel Rod,MV Horizon,2023-04-12,2023-05-04,2023-04-28,49,-6,Low
SHP3454,PO2729,SUP005,PrimeSteel,MAT104,Steel Sheet,MV Titan,2023-04-13,2023-05-02,2023-04-28,90,-4,High
SHP2755,PO2878,SUP003,CoreSteel,MAT102,Steel Plate,MV OceanStar,2023-04-15,2023-05-06,2023-05-15,55,9,Low
SHP3212,PO1658,SUP004,DeltaIron,MAT102,Steel Plate,MV OceanStar,2023-04-16,2023-05-10,2023-05-10,47,0,Low
SHP3009,PO2820,SUP001,AlphaSteel,MAT102,Steel Plate,MV OceanStar,2023-04-17,2023-04-27,2023-05-03,76,6,Medium
SHP3082,PO2236,SUP001,AlphaSteel,MAT100,Steel Coil,MV Horizon,2023-04-18,2023-05-04,2023-05-07,41,3,Low
SHP2334,PO2482,SUP005,PrimeSteel,MAT101,Steel Rod,MV Titan,2023-04-19,2023-05-12,2023-05-06,84,-6,High
SHP2561,PO2089,SUP001,AlphaSteel,MAT102,Steel Plate,MV OceanStar,2023-04-20,2023-05-09,2023-05-14,40,5,Low
SHP2214,PO2520,SUP001,AlphaSteel,MAT100,Steel Coil,MV Horizon,2023-04-21,2023-05-07,2023-05-18,43,11,Low
SHP3116,PO1977,SUP005,PrimeSteel,MAT102,Steel Plate,MV Titan,2023-04-22,2023-05-06,2023-05-21,42,15,Low
SHP3115,PO1262,SUP002,BetaMetals,MAT100,Steel Coil,MV OceanStar,2023-04-25,2023-05-10,2023-05-23,60,13,Low
SHP2202,PO2765,SUP004,DeltaIron,MAT104,Steel Sheet,MV Horizon,2023-04-27,2023-05-14,2023-05-12,58,-2,Low
SHP2216,PO1251,SUP003,CoreSteel,MAT100,Steel Coil,MV Titan,2023-04-28,2023-05-20,2023-05-24,59,4,Low
SHP3096,PO1533,SUP004,DeltaIron,MAT101,Steel Rod,MV Titan,2023-04-29,2023-05-14,2023-06-01,80,18,Medium
SHP2766,PO1076,SUP004,DeltaIron,MAT102,Steel Plate,MV Horizon,2023-04-30,2023-05-10,2023-06-03,66,24,Medium
SHP2249,PO2632,SUP003,CoreSteel,MAT104,Steel Sheet,MV OceanStar,2023-05-01,2023-05-20,2023-05-30,73,10,Medium
SHP3192,PO2487,SUP001,AlphaSteel,MAT100,Steel Coil,MV Horizon,2023-05-03,2023-05-21,2023-06-03,74,13,Medium
SHP2325,PO1893,SUP003,CoreSteel,MAT104,Steel Sheet,MV OceanStar,2023-05-04,2023-05-26,2023-05-24,42,-2,Low
SHP3124,PO1980,SUP001,AlphaSteel,MAT101,Steel Rod,MV Titan,2023-05-05,2023-05-24,2023-05-26,94,2,High
SHP3415,PO2697,SUP004,DeltaIron,MAT101,Steel Rod,MV Titan,2023-05-07,2023-05-17,2023-06-06,42,20,Low
SHP3347,PO2490,SUP001,AlphaSteel,MAT103,Steel Bar,MV Horizon,2023-05-08,2023-05-26,2023-05-22,84,-4,High
SHP2903,PO2675,SUP002,BetaMetals,MAT103,Steel Bar,MV OceanStar,2023-05-09,2023-05-20,2023-05-21,67,1,Medium
SHP3238,PO2256,SUP003,CoreSteel,MAT101,Steel Rod,MV OceanStar,2023-05-10,2023-05-24,2023-06-03,83,10,High
SHP3438,PO2955,SUP005,PrimeSteel,MAT103,Steel Bar,MV OceanStar,2023-05-11,2023-05-25,2023-06-09,50,15,Low
SHP3197,PO1115,SUP001,AlphaSteel,MAT104,Steel Sheet,MV Titan,2023-05-12,2023-05-23,2023-05-27,57,4,Low
SHP2922,PO2902,SUP005,PrimeSteel,MAT104,Steel Sheet,MV OceanStar,2023-05-13,2023-05-24,2023-05-27,60,3,Low
SHP3259,PO1764,SUP001,AlphaSteel,MAT100,Steel Coil,MV Titan,2023-05-15,2023-06-02,2023-06-06,82,4,High
SHP2866,PO1995,SUP002,BetaMetals,MAT100,Steel Coil,MV Titan,2023-05-16,2023-05-31,2023-06-09,92,9,High
SHP3229,PO1620,SUP005,PrimeSteel,MAT104,Steel Sheet,MV Titan,2023-05-17,2023-06-04,2023-06-15,58,11,Low
SHP2395,PO2533,SUP003,CoreSteel,MAT101,Steel Rod,MV Horizon,2023-05-18,2023-05-30,2023-06-19,74,20,Medium
SHP3128,PO1782,SUP004,DeltaIron,MAT101,Steel Rod,MV OceanStar,2023-05-19,2023-06-11,2023-06-06,48,-5,Low
SHP3043,PO1579,SUP001,AlphaSteel,MAT100,Steel Coil,MV Horizon,2023-05-21,2023-06-05,2023-06-11,93,6,High
SHP2616,PO1002,SUP001,AlphaSteel,MAT103,Steel Bar,MV Horizon,2023-05-23,2023-06-03,2023-06-17,56,14,Low
SHP2071,PO1751,SUP002,BetaMetals,MAT100,Steel Coil,MV OceanStar,2023-05-25,2023-06-08,2023-06-23,82,15,High
SHP2483,PO1990,SUP005,PrimeSteel,MAT104,Steel Sheet,MV Horizon,2023-05-26,2023-06-07,2023-06-10,40,3,Low
SHP3249,PO1612,SUP002,BetaMetals,MAT102,Steel Plate,MV OceanStar,2023-05-27,2023-06-20,2023-06-23,72,3,Medium
SHP2002,PO2767,SUP004,DeltaIron,MAT103,Steel Bar,MV Horizon,2023-05-28,2023-06-13,2023-06-14,86,1,High
SHP3388,PO1996,SUP002,BetaMetals,MAT100,Steel Coil,MV Horizon,2023-05-29,2023-06-11,2023-06-11,50,0,Low
SHP2481,PO1183,SUP002,BetaMetals,MAT102,Steel Plate,MV Titan,2023-05-30,2023-06-18,2023-06-20,70,2,Medium
SHP2050,PO2384,SUP001,AlphaSteel,MAT100,Steel Coil,MV Titan,2023-05-31,2023-06-11,2023-06-17,88,6,High
SHP2914,PO1625,SUP004,DeltaIron,MAT103,Steel Bar,MV Titan,2023-06-02,2023-06-25,2023-06-26,83,1,High
SHP3185,PO1492,SUP001,AlphaSteel,MAT100,Steel Coil,MV Titan,2023-06-03,2023-06-20,2023-06-20,87,0,High
SHP2731,PO1428,SUP005,PrimeSteel,MAT101,Steel Rod,MV Titan,2023-06-04,2023-06-24,2023-06-18,61,-6,Medium
SHP2959,PO1309,SUP003,CoreSteel,MAT100,Steel Coil,MV Horizon,2023-06-07,2023-06-27,2023-07-09,57,12,Low
SHP2964,PO1168,SUP005,PrimeSteel,MAT100,Steel Coil,MV Horizon,2023-06-08,2023-06-30,2023-06-21,40,-9,Low
SHP3154,PO1060,SUP001,AlphaSteel,MAT103,Steel Bar,MV Horizon,2023-06-09,2023-06-19,2023-07-05,94,16,High
SHP2942,PO2390,SUP005,PrimeSteel,MAT100,Steel Coil,MV Titan,2023-06-10,2023-07-01,2023-07-03,67,2,Medium
SHP2448,PO2716,SUP005,PrimeSteel,MAT100,Steel Coil,MV Horizon,2023-06-11,2023-06-28,2023-07-14,63,16,Medium
SHP2668,PO1498,SUP003,CoreSteel,MAT104,Steel Sheet,MV OceanStar,2023-06-15,2023-07-06,2023-07-17,41,11,Low
SHP3002,PO2879,SUP001,AlphaSteel,MAT103,Steel Bar,MV Horizon,2023-06-16,2023-06-26,2023-07-19,86,23,High
SHP3006,PO2831,SUP003,CoreSteel,MAT100,Steel Coil,MV OceanStar,2023-06-18,2023-07-07,2023-07-06,92,-1,High
SHP2081,PO2023,SUP003,CoreSteel,MAT103,Steel Bar,MV Horizon,2023-06-20,2023-07-03,2023-07-02,86,-1,High
SHP3142,PO2767,SUP002,BetaMetals,MAT104,Steel Sheet,MV Horizon,2023-06-21,2023-07-13,2023-07-15,70,2,Medium
SHP3054,PO1292,SUP003,CoreSteel,MAT103,Steel Bar,MV Titan,2023-06-22,2023-07-05,2023-07-05,71,0,Medium
SHP3204,PO2361,SUP004,DeltaIron,MAT101,Steel Rod,MV OceanStar,2023-06-23,2023-07-09,2023-07-13,52,4,Low
SHP2706,PO2589,SUP002,BetaMetals,MAT100,Steel Coil,MV OceanStar,2023-06-24,2023-07-16,2023-07-23,77,7,Medium
SHP3253,PO2924,SUP003,CoreSteel,MAT104,Steel Sheet,MV Titan,2023-06-25,2023-07-16,2023-07-16,58,0,Low
SHP2130,PO2861,SUP005,PrimeSteel,MAT104,Steel Sheet,MV Horizon,2023-06-27,2023-07-08,2023-07-25,94,17,High
SHP2411,PO1366,SUP002,BetaMetals,MAT102,Steel Plate,MV Horizon,2023-06-29,2023-07-18,2023-07-26,66,8,Medium
SHP2792,PO2176,SUP005,PrimeSteel,MAT100,Steel Coil,MV OceanStar,2023-06-30,2023-07-22,2023-07-14,59,-8,Low
SHP2594,PO1552,SUP005,PrimeSteel,MAT100,Steel Coil,MV Horizon,2023-07-01,2023-07-24,2023-07-14,49,-10,Low
SHP2284,PO2651,SUP005,PrimeSteel,MAT101,Steel Rod,MV OceanStar,2023-07-02,2023-07-18,2023-07-16,43,-2,Low
SHP3078,PO1212,SUP004,DeltaIron,MAT102,Steel Plate,MV OceanStar,2023-07-03,2023-07-18,2023-07-23,80,5,Medium
SHP2466,PO2272,SUP001,AlphaSteel,MAT100,Steel Coil,MV Horizon,2023-07-04,2023-07-21,2023-07-16,94,-5,High
SHP2247,PO2967,SUP004,DeltaIron,MAT100,Steel Coil,MV Titan,2023-07-05,2023-07-19,2023-07-24,88,5,High
SHP2470,PO2320,SUP002,BetaMetals,MAT101,Steel Rod,MV OceanStar,2023-07-07,2023-07-26,2023-08-04,57,9,Low
SHP2015,PO2049,SUP001,AlphaSteel,MAT100,Steel Coil,MV Titan,2023-07-10,2023-08-03,2023-08-13,45,10,Low
SHP2873,PO1711,SUP003,CoreSteel,MAT102,Steel Plate,MV OceanStar,2023-07-13,2023-08-01,2023-08-04,56,3,Low
SHP3356,PO2900,SUP004,DeltaIron,MAT101,Steel Rod,MV Titan,2023-07-14,2023-07-25,2023-08-12,56,18,Low
SHP2832,PO1079,SUP003,CoreSteel,MAT103,Steel Bar,MV OceanStar,2023-07-15,2023-08-08,2023-08-01,60,-7,Low
SHP3104,PO2877,SUP005,PrimeSteel,MAT104,Steel Sheet,MV Titan,2023-07-16,2023-08-08,2023-07-31,92,-8,High
SHP3292,PO2085,SUP003,CoreSteel,MAT101,Steel Rod,MV Horizon,2023-07-19,2023-08-12,2023-08-18,64,6,Medium
SHP2163,PO1164,SUP005,PrimeSteel,MAT101,Steel Rod,MV OceanStar,2023-07-20,2023-08-02,2023-08-04,81,2,High
SHP2120,PO2643,SUP002,BetaMetals,MAT101,Steel Rod,MV Titan,2023-07-21,2023-08-05,2023-08-18,55,13,Low
SHP2754,PO2769,SUP001,AlphaSteel,MAT100,Steel Coil,MV Titan,2023-07-22,2023-08-13,2023-08-05,61,-8,Medium
SHP3467,PO2787,SUP001,AlphaSteel,MAT104,Steel Sheet,MV Titan,2023-07-23,2023-08-09,2023-08-19,90,10,High
SHP2200,PO2506,SUP005,PrimeSteel,MAT104,Steel Sheet,MV Horizon,2023-07-25,2023-08-09,2023-08-25,55,16,Low
SHP3207,PO1116,SUP002,BetaMetals,MAT103,Steel Bar,MV OceanStar,2023-07-26,2023-08-08,2023-08-17,82,9,High
SHP2063,PO2112,SUP005,PrimeSteel,MAT102,Steel Plate,MV Titan,2023-07-28,2023-08-09,2023-08-21,50,12,Low
SHP2482,PO2692,SUP005,PrimeSteel,MAT102,Steel Plate,MV Titan,2023-07-29,2023-08-08,2023-08-18,68,10,Medium
SHP2262,PO2352,SUP003,CoreSteel,MAT103,Steel Bar,MV Horizon,2023-07-30,2023-08-15,2023-08-30,75,15,Medium
SHP3270,PO2751,SUP004,DeltaIron,MAT104,Steel Sheet,MV OceanStar,2023-07-31,2023-08-18,2023-08-12,62,-6,Medium
SHP2401,PO1042,SUP004,DeltaIron,MAT102,Steel Plate,MV Horizon,2023-08-01,2023-08-12,2023-08-22,87,10,High
SHP2677,PO2552,SUP001,AlphaSteel,MAT103,Steel Bar,MV OceanStar,2023-08-02,2023-08-15,2023-08-27,75,12,Medium
SHP3464,PO2805,SUP001,AlphaSteel,MAT103,Steel Bar,MV Horizon,2023-08-03,2023-08-19,2023-09-05,81,17,High
SHP2534,PO1887,SUP005,PrimeSteel,MAT100,Steel Coil,MV Titan,2023-08-04,2023-08-26,2023-08-20,85,-6,High
SHP2154,PO2602,SUP003,CoreSteel,MAT101,Steel Rod,MV Titan,2023-08-05,2023-08-22,2023-09-03,61,12,Medium
SHP2161,PO2500,SUP002,BetaMetals,MAT100,Steel Coil,MV OceanStar,2023-08-06,2023-08-30,2023-08-24,79,-6,Medium
SHP2690,PO2227,SUP003,CoreSteel,MAT101,Steel Rod,MV OceanStar,2023-08-07,2023-08-22,2023-08-21,62,-1,Medium
SHP3472,PO2001,SUP003,CoreSteel,MAT100,Steel Coil,MV Horizon,2023-08-08,2023-08-18,2023-09-10,92,23,High
SHP3285,PO2019,SUP003,CoreSteel,MAT101,Steel Rod,MV Titan,2023-08-11,2023-09-01,2023-08-23,50,-9,Low
SHP2193,PO2079,SUP005,PrimeSteel,MAT100,Steel Coil,MV Titan,2023-08-15,2023-09-06,2023-09-03,40,-3,Low
SHP2271,PO2957,SUP004,DeltaIron,MAT104,Steel Sheet,MV Titan,2023-08-19,2023-09-11,2023-09-19,81,8,High
SHP2553,PO2139,SUP002,BetaMetals,MAT101,Steel Rod,MV OceanStar,2023-08-20,2023-09-10,2023-09-07,86,-3,High
SHP2715,PO2534,SUP001,AlphaSteel,MAT103,Steel Bar,MV OceanStar,2023-08-21,2023-09-05,2023-09-09,76,4,Medium
SHP3342,PO2490,SUP004,DeltaIron,MAT100,Steel Coil,MV Horizon,2023-08-22,2023-09-01,2023-09-19,58,18,Low
SHP3431,PO1590,SUP004,DeltaIron,MAT103,Steel Bar,MV Titan,2023-08-23,2023-09-14,2023-09-17,41,3,Low
SHP3153,PO2341,SUP004,DeltaIron,MAT100,Steel Coil,MV Titan,2023-08-26,2023-09-13,2023-09-24,90,11,High
SHP2358,PO2007,SUP005,PrimeSteel,MAT103,Steel Bar,MV OceanStar,2023-08-27,2023-09-12,2023-09-20,79,8,Medium
SHP3049,PO2163,SUP005,PrimeSteel,MAT102,Steel Plate,MV Titan,2023-08-28,2023-09-12,2023-09-26,59,14,Low
SHP2275,PO1410,SUP004,DeltaIron,MAT103,Steel Bar,MV OceanStar,2023-08-29,2023-09-08,2023-09-24,88,16,High
SHP3024,PO1595,SUP002,BetaMetals,MAT102,Steel Plate,MV OceanStar,2023-08-30,2023-09-14,2023-09-17,78,3,Medium
SHP2011,PO2975,SUP005,PrimeSteel,MAT102,Steel Plate,MV Horizon,2023-08-31,2023-09-17,2023-09-25,68,8,Medium
SHP3416,PO2796,SUP004,DeltaIron,MAT101,Steel Rod,MV Horizon,2023-09-01,2023-09-16,2023-09-26,69,10,Medium
SHP2008,PO1116,SUP005,PrimeSteel,MAT101,Steel Rod,MV OceanStar,2023-09-03,2023-09-23,2023-09-18,82,-5,High
SHP2383,PO1310,SUP001,AlphaSteel,MAT102,Steel Plate,MV Horizon,2023-09-04,2023-09-16,2023-09-18,62,2,Medium
SHP2983,PO1233,SUP001,AlphaSteel,MAT103,Steel Bar,MV Titan,2023-09-05,2023-09-23,2023-09-27,54,4,Low
SHP2083,PO2338,SUP002,BetaMetals,MAT101,Steel Rod,MV Titan,2023-09-07,2023-09-28,2023-09-20,51,-8,Low
SHP2523,PO2835,SUP004,DeltaIron,MAT100,Steel Coil,MV Titan,2023-09-08,2023-09-28,2023-10-06,64,8,Medium
SHP2211,PO1818,SUP005,PrimeSteel,MAT103,Steel Bar,MV Horizon,2023-09-09,2023-09-22,2023-09-22,90,0,High
SHP2765,PO1588,SUP002,BetaMetals,MAT101,Steel Rod,MV OceanStar,2023-09-10,2023-10-01,2023-10-04,66,3,Medium
SHP2949,PO2950,SUP004,DeltaIron,MAT100,Steel Coil,MV OceanStar,2023-09-13,2023-10-04,2023-10-15,88,11,High
SHP2744,PO2991,SUP001,AlphaSteel,MAT103,Steel Bar,MV OceanStar,2023-09-15,2023-10-05,2023-10-01,48,-4,Low
SHP2296,PO1509,SUP004,DeltaIron,MAT104,Steel Sheet,MV Titan,2023-09-17,2023-09-29,2023-10-04,89,5,High
SHP2318,PO2725,SUP004,DeltaIron,MAT101,Steel Rod,MV OceanStar,2023-09-18,2023-10-08,2023-10-04,45,-4,Low
SHP3037,PO2958,SUP004,DeltaIron,MAT104,Steel Sheet,MV OceanStar,2023-09-20,2023-10-08,2023-10-14,56,6,Low
SHP2525,PO2098,SUP005,PrimeSteel,MAT101,Steel Rod,MV Titan,2023-09-21,2023-10-04,2023-10-22,47,18,Low
SHP2225,PO2356,SUP002,BetaMetals,MAT102,Steel Plate,MV OceanStar,2023-09-22,2023-10-11,2023-10-06,52,-5,Low
